text,id,content,timestamp_x,temperature_x,prompt_id,timestamp_y,temperature_y,clarity,energy,necessity,productivity,influence,courage,length
"Daily Fire 11-3-23: Let’s Review LIFE! Today's Journal Questions •	Do I rate my life using the Whole Life Scores in the app? •	When my week gets thrown off, how do I handle it? What is my default reaction? •	Can I see my days like I see traffic? (Some days we are slowed down and other days we speed up!) •	Can I accept the ups and downs of my life? Can I choose how to handle the downs? And to celebrate the ups?! •	Have I been avoiding the Life Scores because I am avoiding accepting life's ups and downs? •	Can I allow myself to learn more about my expectations for myself based on how I score myself in areas of my life? •	When I score myself, can I allow the scores to help me LEARN and GROW? (Not judge!)",0,Life naturally goes through its ups and downs. How well do you accept these fluctuations and what methods do you employ to handle the downs? How do you celebrate the ups? Document your perspective and any strategies you use.,20240319105307,temp1,0,20240319143604,temp1,0.5,0.0,0.0,0.5,0.0,1.0,300
"Daily Fire 11-3-23: Let’s Review LIFE! Today's Journal Questions •	Do I rate my life using the Whole Life Scores in the app? •	When my week gets thrown off, how do I handle it? What is my default reaction? •	Can I see my days like I see traffic? (Some days we are slowed down and other days we speed up!) •	Can I accept the ups and downs of my life? Can I choose how to handle the downs? And to celebrate the ups?! •	Have I been avoiding the Life Scores because I am avoiding accepting life's ups and downs? •	Can I allow myself to learn more about my expectations for myself based on how I score myself in areas of my life? •	When I score myself, can I allow the scores to help me LEARN and GROW? (Not judge!)",0,"When scoring yourself, do you find it serves a constructive purpose? Does it help you learn and grow without fostering self-judgment? Note down your thoughts and reactions to this process, as well as any changes you may want to make.",20240319105307,temp1,1,20240319145207,temp1,1.0,0.0,0.5,0.5,0.0,1.0,350
"Daily Fire 11-3-23: Let’s Review LIFE! Today's Journal Questions •	Do I rate my life using the Whole Life Scores in the app? •	When my week gets thrown off, how do I handle it? What is my default reaction? •	Can I see my days like I see traffic? (Some days we are slowed down and other days we speed up!) •	Can I accept the ups and downs of my life? Can I choose how to handle the downs? And to celebrate the ups?! •	Have I been avoiding the Life Scores because I am avoiding accepting life's ups and downs? •	Can I allow myself to learn more about my expectations for myself based on how I score myself in areas of my life? •	When I score myself, can I allow the scores to help me LEARN and GROW? (Not judge!)",0,"Explore your expectations for yourself based on the scores you assign to different areas of your life. Does the scoring accurately reflect your attitudes, hopes, and goals? Does it help you pinpoint any inconsistencies? Write about your observations.",20240319105307,temp1,2,20240319150021,temp1,1.0,0.0,0.5,1.0,0.0,1.0,300
"Daily Fire 11-3-23: Let’s Review LIFE! Today's Journal Questions •	Do I rate my life using the Whole Life Scores in the app? •	When my week gets thrown off, how do I handle it? What is my default reaction? •	Can I see my days like I see traffic? (Some days we are slowed down and other days we speed up!) •	Can I accept the ups and downs of my life? Can I choose how to handle the downs? And to celebrate the ups?! •	Have I been avoiding the Life Scores because I am avoiding accepting life's ups and downs? •	Can I allow myself to learn more about my expectations for myself based on how I score myself in areas of my life? •	When I score myself, can I allow the scores to help me LEARN and GROW? (Not judge!)",0,"Have you been avoiding the Life Scores because you are having difficulty accepting life's challenges or celebrating its triumphs? Be honest with yourself and jot down your feelings about this tool and your apprehension, if any.",20240319105307,temp1,3,20240319144547,temp1,0.5,0.0,1.0,0.5,0.0,1.0,200
"Daily Fire 11-3-23: Let’s Review LIFE! Today's Journal Questions •	Do I rate my life using the Whole Life Scores in the app? •	When my week gets thrown off, how do I handle it? What is my default reaction? •	Can I see my days like I see traffic? (Some days we are slowed down and other days we speed up!) •	Can I accept the ups and downs of my life? Can I choose how to handle the downs? And to celebrate the ups?! •	Have I been avoiding the Life Scores because I am avoiding accepting life's ups and downs? •	Can I allow myself to learn more about my expectations for myself based on how I score myself in areas of my life? •	When I score myself, can I allow the scores to help me LEARN and GROW? (Not judge!)",0,"Think of your days like traffic - sometimes slow and meddling, other times fast-paced and smooth sailing. How do you handle the slow days compared to the fast ones? What kind of adaptive measures do you take?",20240319105307,temp1,4,20240319165312,temp1,0.5,0.0,1.0,1.0,0.0,1.0,400
"Daily Fire 11-3-23: Let’s Review LIFE! Today's Journal Questions •	Do I rate my life using the Whole Life Scores in the app? •	When my week gets thrown off, how do I handle it? What is my default reaction? •	Can I see my days like I see traffic? (Some days we are slowed down and other days we speed up!) •	Can I accept the ups and downs of my life? Can I choose how to handle the downs? And to celebrate the ups?! •	Have I been avoiding the Life Scores because I am avoiding accepting life's ups and downs? •	Can I allow myself to learn more about my expectations for myself based on how I score myself in areas of my life? •	When I score myself, can I allow the scores to help me LEARN and GROW? (Not judge!)",0,Reflect back on times when your week just did not go as planned. How did you react? Was your default response effective in retuning your week to normal? Can you identify areas of potential improvements? Write these down.,20240319105307,temp1,5,20240319145511,temp1,1.0,0.1,1.0,1.0,0.0,0.9,250
"Daily Fire 11-3-23: Let’s Review LIFE! Today's Journal Questions •	Do I rate my life using the Whole Life Scores in the app? •	When my week gets thrown off, how do I handle it? What is my default reaction? •	Can I see my days like I see traffic? (Some days we are slowed down and other days we speed up!) •	Can I accept the ups and downs of my life? Can I choose how to handle the downs? And to celebrate the ups?! •	Have I been avoiding the Life Scores because I am avoiding accepting life's ups and downs? •	Can I allow myself to learn more about my expectations for myself based on how I score myself in areas of my life? •	When I score myself, can I allow the scores to help me LEARN and GROW? (Not judge!)",0,Consider whether you use a rating system such as Whole Life Scores in the app to evaluate various aspects of your life. Think about the areas you are targeting and the reasons behind their importance. Document your thoughts.,20240319105307,temp1,6,20240319143321,temp1,1.0,0.5,0.5,0.5,0.0,1.0,500
"Daily Fire  11-2-23: The Extra Mile Matters Today's Journal Questions •	Am I still living in Phase 1 or Phase 2? •	Do I understand and believe that Phase 3 demands more of me? •	What is my relationship to ""exceeding expectations?"" •	Do I know when I am holding back and not doing my best? •	Did I hold back somewhere in my life because I wasn't appreciated? •	Does it feel like my life is ever-expanding? Or stale? •	Can I think of a time when I exceeding expectations and my confidence grew? •	How can I exceed expectations today or go the extra mile? •	Will I challenge myself to exceed expectations today? •	What are three things I could do to exceed expectations and will I add them to my plan? (Can I make one of these related to bringing extra joy to someone I love?)",1,"Finally, think of someone you care deeply about. What's one special thing you can do to bring extra joy to their day? Include this in your plan.",20240319112138,temp1,7,20240319165050,temp1,0.5,0.5,1.0,1.0,0.5,0.5,300
"Daily Fire  11-2-23: The Extra Mile Matters Today's Journal Questions •	Am I still living in Phase 1 or Phase 2? •	Do I understand and believe that Phase 3 demands more of me? •	What is my relationship to ""exceeding expectations?"" •	Do I know when I am holding back and not doing my best? •	Did I hold back somewhere in my life because I wasn't appreciated? •	Does it feel like my life is ever-expanding? Or stale? •	Can I think of a time when I exceeding expectations and my confidence grew? •	How can I exceed expectations today or go the extra mile? •	Will I challenge myself to exceed expectations today? •	What are three things I could do to exceed expectations and will I add them to my plan? (Can I make one of these related to bringing extra joy to someone I love?)",1,Take a moment to visualize your day or week. Are there tasks or obligations where you could extend yourself? List at least three things you can do to exceed expectations and add them into your plan.,20240319112138,temp1,8,20240319161735,temp1,0.5,1.0,1.0,1.0,0.0,1.0,400
"Daily Fire  11-2-23: The Extra Mile Matters Today's Journal Questions •	Am I still living in Phase 1 or Phase 2? •	Do I understand and believe that Phase 3 demands more of me? •	What is my relationship to ""exceeding expectations?"" •	Do I know when I am holding back and not doing my best? •	Did I hold back somewhere in my life because I wasn't appreciated? •	Does it feel like my life is ever-expanding? Or stale? •	Can I think of a time when I exceeding expectations and my confidence grew? •	How can I exceed expectations today or go the extra mile? •	Will I challenge myself to exceed expectations today? •	What are three things I could do to exceed expectations and will I add them to my plan? (Can I make one of these related to bringing extra joy to someone I love?)",1,"Considering the day ahead of you, identify where you can go the extra mile. How can you exceed expectations, either for others or for yourself? What would it look like to challenge yourself in this way?",20240319112138,temp1,9,20240319145759,temp1,1.0,0.5,1.0,1.0,0.5,1.0,500
"Daily Fire  11-2-23: The Extra Mile Matters Today's Journal Questions •	Am I still living in Phase 1 or Phase 2? •	Do I understand and believe that Phase 3 demands more of me? •	What is my relationship to ""exceeding expectations?"" •	Do I know when I am holding back and not doing my best? •	Did I hold back somewhere in my life because I wasn't appreciated? •	Does it feel like my life is ever-expanding? Or stale? •	Can I think of a time when I exceeding expectations and my confidence grew? •	How can I exceed expectations today or go the extra mile? •	Will I challenge myself to exceed expectations today? •	What are three things I could do to exceed expectations and will I add them to my plan? (Can I make one of these related to bringing extra joy to someone I love?)",1,Reflect on a time when you exceeded expectations and it positively impacted your self-confidence. What did you learn from that experience and how can you apply it to future challenges?,20240319112138,temp1,10,20240319161520,temp1,0.5,0.0,1.0,1.0,0.0,0.5,500
"Daily Fire  11-2-23: The Extra Mile Matters Today's Journal Questions •	Am I still living in Phase 1 or Phase 2? •	Do I understand and believe that Phase 3 demands more of me? •	What is my relationship to ""exceeding expectations?"" •	Do I know when I am holding back and not doing my best? •	Did I hold back somewhere in my life because I wasn't appreciated? •	Does it feel like my life is ever-expanding? Or stale? •	Can I think of a time when I exceeding expectations and my confidence grew? •	How can I exceed expectations today or go the extra mile? •	Will I challenge myself to exceed expectations today? •	What are three things I could do to exceed expectations and will I add them to my plan? (Can I make one of these related to bringing extra joy to someone I love?)",1,"Consider the general direction of your life. Does it feel like it's expanding, filled with new challenges and growth? Or is it becoming stagnant? What steps can you take to change or maintain this direction?",20240319112138,temp1,11,20240319145609,temp1,0.5,0.2,1.0,1.0,0.0,0.2,300
